facility_id,metric,forecast_date,forecast_value,model_name
GMC-AHM-001,lab_tests,2026-08-29,1813.8,Holt-Winters
GMC-AHM-001,lab_tests,2026-08-30,1880.1,Holt-Winters
GMC-AHM-001,lab_tests,2026-08-31,1663.8,Holt-Winters
GMC-AHM-001,lab_tests,2026-09-01,1828.8,Holt-Winters
GMC-AHM-001,lab_tests,2026-09-02,1998.8,Holt-Winters
GMC-AHM-001,lab_tests,2026-09-03,2070.1,Holt-Winters
GMC-AHM-001,lab_tests,2026-09-04,1928.8,Holt-Winters
GMC-AHM-001,ed_arrivals,2026-08-29,319.3,Holt-Winters
GMC-AHM-001,ed_arrivals,2026-08-30,322.8,Holt-Winters
GMC-AHM-001,ed_arrivals,2026-08-31,273.0,Holt-Winters
GMC-AHM-001,ed_arrivals,2026-09-01,309.3,Holt-Winters
GMC-AHM-001,ed_arrivals,2026-09-02,337.5,Holt-Winters
GMC-AHM-001,ed_arrivals,2026-09-03,374.3,Holt-Winters
GMC-AHM-001,ed_arrivals,2026-09-04,348.8,Holt-Winters
GMC-AHM-001,opd_visits,2026-08-29,1557.3,Holt-Winters
GMC-AHM-001,opd_visits,2026-08-30,1614.1,Holt-Winters
GMC-AHM-001,opd_visits,2026-08-31,1008.6,Holt-Winters
GMC-AHM-001,opd_visits,2026-09-01,1472.3,Holt-Winters
GMC-AHM-001,opd_visits,2026-09-02,1722.3,Holt-Winters
GMC-AHM-001,opd_visits,2026-09-03,1817.3,Holt-Winters
GMC-AHM-001,opd_visits,2026-09-04,1664.8,Holt-Winters
GMC-AHM-001,beds_occupied,2026-08-29,422.6,Holt-Winters
GMC-AHM-001,beds_occupied,2026-08-30,425.8,Holt-Winters
GMC-AHM-001,beds_occupied,2026-08-31,393.8,Holt-Winters
GMC-AHM-001,beds_occupied,2026-09-01,401.8,Holt-Winters
GMC-AHM-001,beds_occupied,2026-09-02,429.3,Holt-Winters
GMC-AHM-001,beds_occupied,2026-09-03,442.3,Holt-Winters
GMC-AHM-001,beds_occupied,2026-09-04,434.3,Holt-Winters
GMC-AHM-001,ambulance_calls,2026-08-29,43.0,Holt-Winters
GMC-AHM-001,ambulance_calls,2026-08-30,43.2,Holt-Winters
GMC-AHM-001,ambulance_calls,2026-08-31,31.5,Holt-Winters
GMC-AHM-001,ambulance_calls,2026-09-01,39.2,Holt-Winters
GMC-AHM-001,ambulance_calls,2026-09-02,47.7,Holt-Winters
GMC-AHM-001,ambulance_calls,2026-09-03,53.0,Holt-Winters
GMC-AHM-001,ambulance_calls,2026-09-04,45.8,Holt-Winters
